actionmailer, 4.0.0, MIT
actionpack, 4.0.0, MIT
activemodel, 4.0.0, MIT
activerecord, 4.0.0, MIT
activerecord-deprecated_finders, 1.0.3, MIT
activesupport, 4.0.0, MIT
acts-as-taggable-on, 2.4.2.pre, MIT
addressable, 2.3.5, Apache License 2.0
airbrake, 3.1.12, MIT
archive-tar-minitar, 0.5.2, GPLv2
arel, 4.0.0, MIT
atomic, 1.1.10, Apache-2.0
awesome_print, 1.1.0, MIT
bcrypt-ruby, 3.1.0, MIT
bourbon, 3.1.8, MIT
builder, 3.1.4, MIT
bundler, 1.3.5, MIT
capybara, 1.0.1, MIT
capybara-webkit, 1.0.0.beta4, MIT
childprocess, 0.3.9, MIT
choices, 0.3.2, MIT
chronic, 0.9.1, MIT
chunky_png, 1.2.8, MIT
coderay, 1.0.9, MIT
coffee-rails, 4.0.0, MIT
coffee-script, 2.2.0, MIT
coffee-script-source, 1.6.3, MIT
compass, 0.12.2, MIT
compass-rails, 1.0.3, MIT
cookiejar, 0.3.0, GPL
daemons, 1.1.9, MIT
dalli, 2.6.4, MIT
database_cleaner, 1.0.1, MIT
delayed_job, 4.0.0.beta2, MIT
delayed_job_active_record, 4.0.0.beta3, MIT
delayed_job_web, 1.2.0, MIT
devise, 3.0.0.rc, MIT
devise-encryptable, 0.1.1, Apache 2.0
diff-lcs, 1.2.4, MIT
dotenv, 0.8.0, MIT
draper, 0.12.0, MIT
dynamic_form, 1.1.4, MIT
eco, 1.0.0, MIT
eco-source, 1.1.0.rc.1, MIT
ejs, 1.1.1, MIT
em-http-request, 1.1.0, MIT
em-socksify, 0.3.0, MIT
em-websocket, 0.3.8, MIT
erubis, 2.7.0, MIT
eventmachine, 1.0.3, ruby
excon, 0.25.1, MIT
execjs, 1.4.0, MIT
factory_girl, 4.2.0, MIT
factory_girl_rails, 4.2.1, MIT
fakeweb, 1.3.0, MIT
faraday, 0.8.7, MIT
ffaker, 1.16.2, MIT
ffi, 1.9.0, LGPL-3
foreman, 0.63.0, MIT
formatador, 0.2.4, MIT
fssm, 0.2.10, MIT
guard, 1.8.1, MIT
guard-coffeescript, 1.3.2, MIT
guard-livereload, 1.3.0, MIT
haml, 4.0.3, MIT
haml-rails, 0.4, MIT
happymapper, 0.4.0, MIT
hashie, 2.0.5, MIT
headless, 1.0.1, MIT
heroku-api, 0.3.13, MIT
heroku_san, 4.2.5, MIT
hike, 1.2.3, MIT
http_parser.rb, 0.6.0.beta.2, MIT
httparty, 0.11.0, MIT
httpauth, 0.2.0, MIT
i18n, 0.6.4, MIT
jasmine, 1.3.2, MIT
jasmine-core, 1.3.1, MIT
jasmine-rails, 0.4.5, MIT
jquery-rails, 2.1.4, MIT
jshint_on_rails, 1.0.3, MIT
json, 1.8.0, Ruby
jwt, 0.1.8, MIT
kgio, 2.8.0, LGPL
launchy, 2.3.0, ISC
libv8, 3.11.8.17, MIT
libxml-ruby, 2.6.0, MIT
license_finder, 0.9.2, MIT
listen, 1.2.2, MIT
lumberjack, 1.0.4, MIT
mail, 2.5.4, MIT
mario, 0.0.6, MIT
method_source, 0.8.1, MIT
mime-types, 1.23, MIT
mini_portile, 0.5.1, MIT
minitest, 4.7.5, MIT
multi_json, 1.7.7, MIT
multi_xml, 0.5.5, MIT
multipart-post, 1.2.0, MIT
net-scp, 1.1.2, MIT
net-ssh, 2.6.8, MIT
newrelic_rpm, 3.6.5.130, MIT
nokogiri, 1.6.0, MIT
oauth2, 0.8.1, MIT
omniauth, 1.1.4, MIT
omniauth-google-oauth2, 0.2.0, MIT
omniauth-oauth2, 1.1.1, MIT
orm_adapter, 0.4.0, MIT
pg, 0.16.0, BSD
pivotal-tracker, 0.5.8, MIT
polyglot, 0.3.3, MIT
pry, 0.9.12.2, MIT
pry-nav, 0.2.3, MIT
pry-rails, 0.3.1, MIT
rack, 1.5.2, MIT
rack-protection, 1.5.0, MIT
rack-test, 0.6.2, MIT
rails, 4.0.0, MIT
rails-backbone, 0.9.10, MIT
rails_12factor, 0.0.2, 2-clause BSDL
rails_serve_static_assets, 0.0.1, New BSD
rails_stdout_logging, 0.0.1, MIT
railties, 4.0.0, MIT
raindrops, 0.11.0, LGPL
rake, 10.1.0, MIT
rb-fsevent, 0.9.3, MIT
rb-inotify, 0.9.0, MIT
rb-kqueue, 0.2.0, MIT
rdoc, 4.0.1, Ruby
ref, 1.0.5, MIT
rest-client, 1.6.7, MIT
rspec, 2.14.0, MIT
rspec-core, 2.14.0, MIT
rspec-expectations, 2.14.0, MIT
rspec-mocks, 2.14.1, MIT
rspec-rails, 2.14.0, MIT
ruby-openid, 2.2.3, Ruby
ruby-prof, 0.13.0, 2-clause BSDL
rubyzip, 0.9.9, ruby
sass, 3.2.9, MIT
sass-rails, 4.0.0, MIT
selenium-webdriver, 2.33.0, Apache 2.0
sequel, 4.2.0, MIT
shoulda-matchers, 2.2.0, MIT
sinatra, 1.4.3, MIT
slop, 3.4.5, MIT
sprockets, 2.10.0, MIT
sprockets-rails, 2.0.0, MIT
sqlite3, 1.3.8, MIT
therubyracer, 0.11.4, MIT
thin, 1.5.1, Ruby
thor, 0.18.1, MIT
thread_safe, 0.1.0, Apache License 2.0
tilt, 1.4.1, MIT
timecop, 0.6.1, MIT
treetop, 1.4.14, MIT
tzinfo, 0.3.37, MIT
uglifier, 2.1.1, MIT
unicorn, 4.6.3, GPLv2
vagrant, 0.5.4, MIT
vcr, 2.2.4, MIT
virtualbox, 0.7.5, MIT
warden, 1.2.1, MIT
websocket, 1.0.7, MIT
whenever, 0.8.2, MIT
xpath, 0.1.4, MIT
